<<<<<<< HEAD
,Unnamed: 0,id,username,date,text,time,state,split_text,closed,open,cause,highway_string,has_highway,county_string,has_county,city_string,has_city,Other_Road_List,mm_list,exit_list,x,y,match_scores,matched_addresses,best_x,best_y,best_score,best_address
11,11,1041331272587653120,wectnews,2018-09-16,brunswick community college closed through next saturday,14:21:37,North Carolina,"['brunswick', 'community', 'college', 'closed', 'through', 'next', 'saturday']",closed,,,None,0,None,0,brunswick,1,"n extension,through n extension",None,None,None,None,None,None,None,None,None,None
12,12,1041082912672817153,wectnews,2018-09-15,just in: bladen county schools will close to students and staff on monday sept 17 for the latest school closings »   ,21:54:43,North Carolina,"['just', 'in:', 'bladen', 'county', 'schools', 'will', 'close', 'to', 'students', 'and', 'staff', 'on', 'monday', 'sept', '17', 'for', 'the', 'latest', 'school', 'closings', '»']",closing,,,None,0,None,0,None,0,"ju street,se point,monday se point,lat estate,the lat estate,late street,the late street",None,None,None,None,None,None,None,None,None,None
13,13,1041055219155722240,wectnews,2018-09-15,brunswick county deputy okay after rollover crash outside leland   #florenceilm #florence,20:04:40,North Carolina,"['brunswick', 'county', 'deputy', 'okay', 'after', 'rollover', 'crash', 'outside', 'leland', '#florenceilm', '#florence']",crash,,crash,None,0,None,0,"brunswick,leland",1,"af terrace,okay af terrace,le land,outside le land",None,None,None,None,None,None,None,None,None,None
14,14,1041009267472584704,wectnews,2018-09-15,just in: cape fear community college will remain closed at all campus locations until further notice all events at all cfcc campuses as well as athletic events and practices have been canceled @cfcc,17:02:05,North Carolina,"['just', 'in:', 'cape', 'fear', 'community', 'college', 'will', 'remain', 'closed', 'at', 'all', 'campus', 'locations', 'until', 'further', 'notice', 'all', 'events', 'at', 'all', 'cfcc', 'campuses', 'as', 'well', 'as', 'athletic', 'events', 'and', 'practices', 'have', 'been', 'canceled', '@cfcc']",closed,,event,None,0,None,0,None,0,"ju street,in: cape,just in: cape,as well,campuses as well,h avenue,practices h avenue",None,None,None,None,None,None,None,None,None,None
15,15,1041002450419949568,wectnews,2018-09-15,just in: brunswick county schools will be closed all next week,16:34:59,North Carolina,"['just', 'in:', 'brunswick', 'county', 'schools', 'will', 'be', 'closed', 'all', 'next', 'week']",closed,,,None,0,None,0,brunswick,1,"ju street,n extension,all n extension",None,None,None,None,None,None,None,None,None,None
16,16,1040996944762560512,wectnews,2018-09-15,two cars are left submerged on new centre drive please avoid the area,16:13:07,North Carolina,"['two', 'cars', 'are', 'left', 'submerged', 'on', 'new', 'centre', 'drive', 'please', 'avoid', 'the', 'area']",avoid,,,None,0,None,0,None,0,"le fort,are le fort,new center,on new center,centre drive,new centre drive",None,None,None,None,None,None,None,None,None,None
17,17,1040971990725734400,wectnews,2018-09-15,update from #bladen county: bladen lakes shelter will be closing effective immediately and moving to the elizabethtown middle school shelter located at 1496 us-701 elizabethtown nc 28337 #florenceilm,14:33:57,North Carolina,"['update', 'from', '#bladen', 'county:', 'bladen', 'lakes', 'shelter', 'will', 'be', 'closing', 'effective', 'immediately', 'and', 'moving', 'to', 'the', 'elizabethtown', 'middle', 'school', 'shelter', 'located', 'at', '1496', 'us-701', 'elizabethtown', 'nc', '28337', '#florenceilm']",closing,,,US 701,1,None,0,elizabethtown,1,"bladen lakes,county: bladen lakes,shel terrace,lakes shel terrace,shel terrace,school shel terrace",None,None,"-78.61146937161729,-78.398181,-78.61146937161729,-78.27840868907958,-78.61146937161729,-78.27840868907958,-78.61146937161729,-78.98113999999998,-78.61146937161729,-78.398181","34.6190758701149,34.78210200000001,34.6190758701149,35.62695211806584,34.6190758701149,35.62695211806584,34.6190758701149,35.07266000000004,34.6190758701149,34.78210200000001","96.11,98.63,88.33,80.66,91.44,84.73,88.8,81.61,95.23,90.84","US 701 & bladen lakes, elizabethtown, North Carolina, USA,US 701 & bladen lakes, North Carolina, USA,US 701 & school shel terrace, elizabethtown, North Carolina, USA,US 701 & school shel terrace, North Carolina, USA,US 701 & shel terrace, elizabethtown, North Carolina, USA,US 701 & shel terrace, North Carolina, USA,US 701 & lakes shel terrace, elizabethtown, North Carolina, USA,US 701 & lakes shel terrace, North Carolina, USA,US 701 & county: bladen lakes, elizabethtown, North Carolina, USA,US 701 & county: bladen lakes, North Carolina, USA",-78.398181,34.78210200000001,98.63,",US 701 & bladen lakes, North Carolina"
18,18,1040842518252933120,wectnews,2018-09-15,road closures in new hanover county   ,05:59:28,North Carolina,"['road', 'closures', 'in', 'new', 'hanover', 'county']",closure,,,None,0,None,0,None,0,None,None,None,None,None,None,None,None,None,None,None
19,19,1040677601797447682,wectnews,2018-09-14,just in: wilmington police confirm a mother and her child were killed after a tree crashed into their home on mercer avenue this morning   officials confirm that at least three people have died in southeastern nc due to #hurricaneflorence,19:04:09,North Carolina,"['just', 'in:', 'wilmington', 'police', 'confirm', 'a', 'mother', 'and', 'her', 'child', 'were', 'killed', 'after', 'a', 'tree', 'crashed', 'into', 'their', 'home', 'on', 'mercer', 'avenue', 'this', 'morning', 'officials', 'confirm', 'that', 'at', 'least', 'three', 'people', 'have', 'died', 'in', 'southeastern', 'nc', 'due', 'to', '#hurricaneflorence']",crash,,tree,None,0,None,0,wilmington,1,"ju street,af terrace,killed af terrace,mercer avenue,on mercer avenue,th island,avenue th island,lea street,at lea street,h avenue,people h avenue",None,None,None,None,None,None,None,None,None,None
20,20,1040429220235759616,wectnews,2018-09-14,just in: due to weather conditions carolina beach officials have closed snows cut bridge effective at 10:30 pm #hurricaneflorence,02:37:11,North Carolina,"['just', 'in:', 'due', 'to', 'weather', 'conditions', 'carolina', 'beach', 'officials', 'have', 'closed', 'snows', 'cut', 'bridge', 'effective', 'at', '10:30', 'pm', '#hurricaneflorence']",closed,,weather,None,0,None,0,None,0,"ju street,carolina beach,conditions carolina beach,h avenue,officials h avenue,cut bridge,snows cut bridge,b ridge,cut b ridge",None,None,None,None,None,None,None,None,None,None
21,21,1042010698698686465,WilmingtonPD,2018-09-18,for a complete list of road closures visit:  …,11:21:24,North Carolina,"['for', 'a', 'complete', 'list', 'of', 'road', 'closures', 'visit:', '…']",closure,,,None,0,None,0,None,0,"li street,complete li street,of road,list of road",None,None,None,None,None,None,None,None,None,None
22,22,1042010424630226944,WilmingtonPD,2018-09-18,all of the rain and flooding has created hazardous conditions for our roads sink holes are beginning to form in some locations if you see a road block barrier do not move it do not go around the barrier these are in place for your safety don’t risk it find another route!,11:20:19,North Carolina,"['all', 'of', 'the', 'rain', 'and', 'flooding', 'has', 'created', 'hazardous', 'conditions', 'for', 'our', 'roads', 'sink', 'holes', 'are', 'beginning', 'to', 'form', 'in', 'some', 'locations', 'if', 'you', 'see', 'a', 'road', 'block', 'barrier', 'do', 'not', 'move', 'it', 'do', 'not', 'go', 'around', 'the', 'barrier', 'these', 'are', 'in', 'place', 'for', 'your', 'safety', 'don’t', 'risk', 'it', 'find', 'another', 'route!']",block,,flood,None,0,None,0,None,0,"our roads,for our roads,a road,see a road,b lock,road b lock",None,None,None,None,None,None,None,None,None,None
23,23,1041805172861816837,WilmingtonPD,2018-09-17,detectives arrested williams monday afternoon in the 1600 block of moore plaza he is charged with first degree murder police responded to the 1300 block of greenfield street around 5:30 pm on aug 16 in reference to shots fired,21:44:43,North Carolina,"['detectives', 'arrested', 'williams', 'monday', 'afternoon', 'in', 'the', '1600', 'block', 'of', 'moore', 'plaza', 'he', 'is', 'charged', 'with', 'first', 'degree', 'murder', 'police', 'responded', 'to', 'the', '1300', 'block', 'of', 'greenfield', 'street', 'around', '5:30', 'pm', 'on', 'aug', '16', 'in', 'reference', 'to', 'shots', 'fired']",block,,tree,None,0,None,0,enfield,1,"b lock,1600 b lock,moore plaza,of moore plaza,he island,plaza he island,fi rest,with fi rest,fir street,with fir street,b lock,1300 b lock,green field,of green field,greenfield street,of greenfield street",None,None,None,None,None,None,None,None,None,None
24,24,1041782860045271041,WilmingtonPD,2018-09-17,the past few days have seemed like years and we know we’re not the only ones who feel like that since last week the city of wilmington nc has been ravaged parts of our city are underwater parts are without power and some parts are inaccessible,20:16:03,North Carolina,"['the', 'past', 'few', 'days', 'have', 'seemed', 'like', 'years', 'and', 'we', 'know', 'we’re', 'not', 'the', 'only', 'ones', 'who', 'feel', 'like', 'that', 'since', 'last', 'week', 'the', 'city', 'of', 'wilmington', 'nc', 'has', 'been', 'ravaged', 'parts', 'of', 'our', 'city', 'are', 'underwater', 'parts', 'are', 'without', 'power', 'and', 'some', 'parts', 'are', 'inaccessible']",inaccessible,,,None,0,None,0,wilmington,1,"pa street,the pa street,h avenue,days h avenue,la street,since la street,underwa terrace,are underwa terrace",None,None,None,None,None,None,None,None,None,None
25,25,1041729470435139584,WilmingtonPD,2018-09-17,scam alert: wpd will never demand you pay them money especially via western union or gift cards to avoid being arrested we will also never solicit money through social media please call 9103433600 if you receive a message like this,16:43:54,North Carolina,"['scam', 'alert:', 'wpd', 'will', 'never', 'demand', 'you', 'pay', 'them', 'money', 'especially', 'via', 'western', 'union', 'or', 'gift', 'cards', 'to', 'avoid', 'being', 'arrested', 'we', 'will', 'also', 'never', 'solicit', 'money', 'through', 'social', 'media', 'please', 'call', '9103433600', 'if', 'you', 'receive', 'a', 'message', 'like', 'this']",avoid,,,None,0,None,0,None,0,"especi alley,money especi alley,especially viaduct,money especially viaduct,western union,via western union,gi fort,or gi fort,ca roads,gift ca roads,th island,like th island",None,None,None,None,None,None,None,None,None,None
26,26,1041051014156230658,WilmingtonPD,2018-09-15,nearly 200 roads are closed throughout @newhanoverco keep an eye on   for an updated list,19:47:58,North Carolina,"['nearly', '200', 'roads', 'are', 'closed', 'throughout', '@newhanoverco', 'keep', 'an', 'eye', 'on', 'for', 'an', 'updated', 'list']",closed,,,None,0,None,0,earl,1,"200 roads,nearly 200 roads,li street,updated li street",None,None,None,None,None,None,None,None,None,None
27,27,1041032096318476288,WilmingtonPD,2018-09-15,the 911 center continues to receive a high volume of calls continue calling for life threatening emergencies for non-life threatening emergencies and other information call 910-798-6800 call 341-7852 to report trees or tree limbs blocking roadways call 341-4646 for flooding,18:32:47,North Carolina,"['the', '911', 'center', 'continues', 'to', 'receive', 'a', 'high', 'volume', 'of', 'calls', 'continue', 'calling', 'for', 'life', 'threatening', 'emergencies', 'for', 'non-life', 'threatening', 'emergencies', 'and', 'other', 'information', 'call', '910-798-6800', 'call', '341-7852', 'to', 'report', 'trees', 'or', 'tree', 'limbs', 'blocking', 'roadways', 'call', '341-4646', 'for', 'flooding']",block,,tree,None,0,None,0,king,1,"911 center,the 911 center,cen terrace,911 cen terrace,re port,to re port,road ways,blocking road ways",None,None,None,None,None,None,None,None,None,None
28,28,1040837101472894976,WilmingtonPD,2018-09-15,our officers are working hard in these rough conditions to keep our city safe please stay off the road to help make their jobs just a little easier  …,05:37:57,North Carolina,"['our', 'officers', 'are', 'working', 'hard', 'in', 'these', 'rough', 'conditions', 'to', 'keep', 'our', 'city', 'safe', 'please', 'stay', 'off', 'the', 'road', 'to', 'help', 'make', 'their', 'jobs', 'just', 'a', 'little', 'easier', '…']",stay off,,,None,0,None,0,king,1,"ha road,working ha road,the road,off the road,ju street,jobs ju street",None,None,None,None,None,None,None,None,None,None
29,29,1040310527015178240,WilmingtonPD,2018-09-13,lights will go out and power lines will go down homes will be damaged and roads will be closed florence will likely have catastrophic impacts on our community but we will be there,18:45:32,North Carolina,"['lights', 'will', 'go', 'out', 'and', 'power', 'lines', 'will', 'go', 'down', 'homes', 'will', 'be', 'damaged', 'and', 'roads', 'will', 'be', 'closed', 'florence', 'will', 'likely', 'have', 'catastrophic', 'impacts', 'on', 'our', 'community', 'but', 'we', 'will', 'be', 'there']",closed,,damage,None,0,None,0,None,0,"lig heights,and roads,damaged and roads,h avenue,likely h avenue,impa courts,catastrophic impa courts",None,None,None,None,None,None,None,None,None,None
30,30,1040959577599172608,WECTtraffic,2018-09-15,i-40 closed details below  …,13:44:38,North Carolina,"['i-40', 'closed', 'details', 'below', '…']",closed,,,I-40,1,None,0,None,0,None,None,None,None,None,None,None,None,None,None,None
31,31,1040537402111078405,WECTtraffic,2018-09-14,low lying traffic lightpower line at the intersection of s college and lake ave power is out in that area so you can’t see it please stay off the roads #wecttraffic #ilmtraffic @wectnews,09:47:03,North Carolina,"['low', 'lying', 'traffic', 'lightpower', 'line', 'at', 'the', 'intersection', 'of', 's', 'college', 'and', 'lake', 'ave', 'power', 'is', 'out', 'in', 'that', 'area', 'so', 'you', 'can’t', 'see', 'it', 'please', 'stay', 'off', 'the', 'roads', '#wecttraffic', '#ilmtraffic', '@wectnews']",stay off,,,None,0,None,0,None,0,"and lake,college and lake,lake avenue,and lake avenue,power island,ave power island,the roads,off the roads",None,None,None,None,None,None,None,None,None,None
32,32,1040458011532308485,WECTtraffic,2018-09-14,the rain is coming down please stay off the roads as #florenceilm gets closer @wectnews,04:31:35,North Carolina,"['the', 'rain', 'is', 'coming', 'down', 'please', 'stay', 'off', 'the', 'roads', 'as', '#florenceilm', 'gets', 'closer', '@wectnews']",stay off,,,None,0,None,0,None,0,"rain island,the rain island,the roads,off the roads",None,None,None,None,None,None,None,None,None,None
33,33,1043221212342747137,WilmNCtraffic,2018-09-21,s front st will remain closed for the next several days between greenfield st and burnett blvd until after the river has crested and high tide water levels have dropped low enough to keep from flooding the roadway,19:31:33,North Carolina,"['s', 'front', 'st', 'will', 'remain', 'closed', 'for', 'the', 'next', 'several', 'days', 'between', 'greenfield', 'st', 'and', 'burnett', 'blvd', 'until', 'after', 'the', 'river', 'has', 'crested', 'and', 'high', 'tide', 'water', 'levels', 'have', 'dropped', 'low', 'enough', 'to', 'keep', 'from', 'flooding', 'the', 'roadway']",closed,,flood,None,0,None,0,enfield,1,"front street,s front street,n extension,the n extension,green field,between green field,greenfield street,between greenfield street,burnett boulevard,and burnett boulevard,af terrace,until af terrace,the river,after the river,wa terrace,tide wa terrace,h avenue,levels h avenue,road way,the road way",None,None,None,None,None,None,None,None,None,None
34,34,1043105700464001024,wraltraffic,2018-09-21,7:52a: crash blocking rt ln of outbound capital just past 540 #raleigh #wral,11:52:33,North Carolina,"['7:52a:', 'crash', 'blocking', 'rt', 'ln', 'of', 'outbound', 'capital', 'just', 'past', '540', '#raleigh', '#wral']",crash,,crash,None,0,None,0,"king,raleigh",1,"rt lane,blocking rt lane,ju street,capital ju street,pa street,just pa street",None,None,None,None,None,None,None,None,None,None
35,35,1043100033061675008,wraltraffic,2018-09-21,7:22a: ok heres the latest from @ncdot on 95: - nash: 95 sb closed from us-64 to sandy cross rd - harnettcumberland: both dirs closed btwn i-40 and nc-82 - cumberlandrobeson: closed btwn 95-bus and i-74,11:30:02,North Carolina,"['7:22a:', 'ok', 'heres', 'the', 'latest', 'from', '@ncdot', 'on', '95:', '-', 'nash:', '95', 'sb', 'closed', 'from', 'us-64', 'to', 'sandy', 'cross', 'rd', '-', 'harnettcumberland:', 'both', 'dirs', 'closed', 'btwn', 'i-40', 'and', 'nc-82', '-', 'cumberlandrobeson:', 'closed', 'btwn', '95-bus', 'and', 'i-74']",closed,,,"US 64,I-40,NC 82,I-74",1,None,0,None,0,"lat estate,the lat estate,late street,the late street,cross road,sandy cross road",None,None,"-82.915938,-81.69429149999999,-78.67602","35.54261100000001,35.71860600000001,35.329617","99.22,99.6,98.16","I-40 & I-74, North Carolina, USA,I-40 & US 64, North Carolina, USA,I-40 & NC 82, North Carolina, USA",-81.69429149999999,35.71860600000001,99.6,",I-40 & US 64, North Carolina"
36,36,1043094293496262657,wraltraffic,2018-09-21,best advice: check   for the latest updates on closures any suggestion i could offer might change by the time you get there,11:07:13,North Carolina,"['best', 'advice:', 'check', 'for', 'the', 'latest', 'updates', 'on', 'closures', 'any', 'suggestion', 'i', 'could', 'offer', 'might', 'change', 'by', 'the', 'time', 'you', 'get', 'there']",closure,,,None,0,None,0,None,0,"b estate,be street,lat estate,the lat estate,late street,the late street,mig heights,offer mig heights",None,None,None,None,None,None,None,None,None,None
37,37,1042808277195743233,wraltraffic,2018-09-20,check   for the latest road closures,16:10:42,North Carolina,"['check', 'for', 'the', 'latest', 'road', 'closures']",closure,,,None,0,None,0,None,0,"lat estate,the lat estate,late street,the late street,latest road,the latest road",None,None,None,None,None,None,None,None,None,None
38,38,1042444597836898304,wraltraffic,2018-09-19,from sky 5 in goldsboro  117 is closed at 795 #wral #ncwx #florence,16:05:34,North Carolina,"['from', 'sky', '5', 'in', 'goldsboro', '117', 'is', 'closed', 'at', '795', '#wral', '#ncwx', '#florence']",closed,,,None,0,None,0,goldsboro,1,"s key,from s key,117 island,goldsboro 117 island",None,None,None,None,None,None,None,None,None,None
39,39,1042402323111260160,wraltraffic,2018-09-19,might be the most reliable hesitant to say theres a more direct route because by the time you get there it might be closed im finding that waze users seem to be on top of it pretty well might be worth a check your results may vary!,13:17:35,North Carolina,"['might', 'be', 'the', 'most', 'reliable', 'hesitant', 'to', 'say', 'theres', 'a', 'more', 'direct', 'route', 'because', 'by', 'the', 'time', 'you', 'get', 'there', 'it', 'might', 'be', 'closed', 'im', 'finding', 'that', 'waze', 'users', 'seem', 'to', 'be', 'on', 'top', 'of', 'it', 'pretty', 'well', 'might', 'be', 'worth', 'a', 'check', 'your', 'results', 'may', 'vary!']",closed,,,None,0,None,0,None,0,"mig heights,mo street,the mo street,dire court,more dire court,direct route,more direct route,mig heights,it mig heights,pretty well,it pretty well,mig heights,well mig heights",None,None,None,None,None,None,None,None,None,None
40,40,1042385149818744832,wraltraffic,2018-09-19,8:08a: crash blocking 2 left lns of 87 sb at wendell falls use 64-bus as alt rt sorry this one is late youd have known about it first if you were watching me on @wral news on fox 50  #raleigh,12:09:20,North Carolina,"['8:08a:', 'crash', 'blocking', '2', 'left', 'lns', 'of', '87', 'sb', 'at', 'wendell', 'falls', 'use', '64-bus', 'as', 'alt', 'rt', 'sorry', 'this', 'one', 'is', 'late', 'youd', 'have', 'known', 'about', 'it', 'first', 'if', 'you', 'were', 'watching', 'me', 'on', '@wral', 'news', 'on', 'fox', '50', '#raleigh']",crash,,crash,None,0,None,0,"king,wendell,raleigh",1,"le fort,2 le fort,wendell falls,at wendell falls,th island,sorry th island,one island,this one island,h avenue,youd h avenue,fi rest,it fi rest,fir street,it fir street",None,None,None,None,None,None,None,None,None,None
41,41,1042381956061843456,wraltraffic,2018-09-19,2 of 3 lanes closed on wb us-64 near knightdale eagle rock road #wral  …,11:56:39,North Carolina,"['2', 'of', '3', 'lanes', 'closed', 'on', 'wb', 'us-64', 'near', 'knightdale', 'eagle', 'rock', 'road', '#wral', '…']",closed,,,US 64,1,None,0,knightdale,1,"knight dale,near knight dale,rock road,eagle rock road",None,None,"-81.94806,-81.94806,-78.46843833905147,-78.46843833905147,-78.41925,-78.41925,-78.48072,-78.48072","35.383482,35.383482,35.766649528218444,35.766649528218444,35.802963000000005,35.802963000000005,35.798814,35.798814","97.37,100,97.58,97.5,98.03,99.61,99.18,99.02","US 64 & rock road, knightdale, North Carolina, USA,US 64 & rock road, North Carolina, USA,US 64 & near knight dale, knightdale, North Carolina, USA,US 64 & near knight dale, North Carolina, USA,US 64 & eagle rock road, knightdale, North Carolina, USA,US 64 & eagle rock road, North Carolina, USA,US 64 & knight dale, knightdale, North Carolina, USA,US 64 & knight dale, North Carolina, USA",-78.41925,35.802963000000005,99.61,",US 64 & eagle rock road, North Carolina"
