,Other_Road_List
87,"not drive,do not drive,wrong way,the wrong way,drive the wrong way,the freeway,on the freeway,way on the freeway,free way,the free way,on the free way,fo lakes,get fo lakes,to get fo lakes,free ways,off free ways,folks off free ways"
88,"fo lakes,please fo lakes"
89,"fo lakes,please fo lakes,shel terrace,folks shel terrace,please folks shel terrace,the roads,on the roads,get on the roads,it island,roads it island,the roads it island,th island,situation th island,dangerous situation th island,this island,situation this island,dangerous situation this island"
90,"wa terrace,high wa terrace,with high wa terrace"
91,"distri court,hou distri court,off roads,stay off roads,to stay off roads"
92,"wa terrace,high wa terrace,to high wa terrace"
93,"w loop,610 w loop,ih 610 w loop,west park,the west park,at the west park,toll way,westpark toll way,the westpark toll way"
94,"wa terrace,high wa terrace,li street,water li street,high water li street,the roads,off the roads,stay off the roads,fo lakes,roads fo lakes,the roads fo lakes,li street,full li street,get full li street,wa terrace,high wa terrace,of high wa terrace,state roads,on state roads,locations on state roads"
95,"grea terrace,the grea terrace,impacting the grea terrace,the road,on the road,be on the road,wa terrace,high wa terrace,of high wa terrace"
96,"wa terrace,high wa terrace,to high wa terrace"
97,"sw freeway,69 sw freeway,ih 69 sw freeway,fr way,sw fr way,69 sw fr way,frontage road,and frontage road,mainlanes and frontage road,a way,stay a way,area stay a way,wa terrace,high wa terrace,from high wa terrace"
98,"sw freeway,69 sw freeway,ih 69 sw freeway,fr way,sw fr way,69 sw fr way,in fort,762 in fort,fm 762 in fort,fort bend,in fort bend,762 in fort bend,wa terrace,high wa terrace,to high wa terrace"
99,"distri court,hou distri court,txdot hou distri court"
100,"wa terrace,high wa terrace,broad way,87 broad way,sh 87 broad way,th island,find th island,@cityofgalveston find th island,wa terrace,high wa terrace,other high wa terrace"
101,"45 ramp,ih 45 ramp,on ih 45 ramp,ju street,ramp ju street,45 ramp ju street,galveston island,before galveston island,just before galveston island,is land,galveston is land,before galveston is land,wa terrace,high wa terrace,to high wa terrace,frontage road,on frontage road,water on frontage road"
102,None
103,"distri court,the distri court,throughout the distri court,four- way,as four- way,intersections as four- way"
104,None
105,"wa terrace,high wa terrace,avoid high wa terrace,1 street,including 1 street,others including 1 street,wa terrace,in wa terrace,cars in wa terrace"
106,None
107,"wa terrace,high wa terrace,18 high wa terrace,state roads,on state roads,locations on state roads,distri court,houston distri court,the houston distri court"
108,None
109,"wa terrace,high wa terrace,14 high wa terrace,state roads,on state roads,locations on state roads,distri court,houston distri court,the houston distri court"
110,"in road,come in road,bands come in road"
111,"there island,us there island,tell us there island,wa terrace,high wa terrace,some high wa terrace,williams way,at williams way,and at williams way"
112,"operations center,emergency operations center,our emergency operations center,cen terrace,operations cen terrace,emergency operations cen terrace,monitoring road,floor monitoring road,@houstontranstar floor monitoring road,the roads,off the roads,stay off the roads"
113,"expe court,accident expe court,possible-fatal accident expe court"
114,"wa terrace,high wa terrace,8 high wa terrace,distri court,houston distri court,the houston distri court,state roads,district state roads,houston district state roads"
115,None
116,"grea terrace,the grea terrace,of the grea terrace"
117,"distri court,hou distri court,- hou distri court"
118,"wa terrace,high wa terrace,few high wa terrace,distri court,houston distri court,the houston distri court"
119,None
120,"beh avenue,not beh avenue,and not beh avenue,wa terrace,high wa terrace,to high wa terrace"
121,"distri court,houston distri court,coa street,texas coa street,the texas coa street"
122,"al ways,welcome al ways,are welcome al ways"
123,None
124,"operations center,emergency operations center,our emergency operations center,cen terrace,operations cen terrace,emergency operations cen terrace,distri court,houston distri court,and houston distri court,th island,crews th island,and crews th island"
125,None
126,"preparedness island,is key,preparedness is key,wa terrace,high wa terrace,avoiding high wa terrace"
127,"th island,#knowbeforeyougo th island,including road,need including road,you need including road"
128,"rem oval,on rem oval,progress on rem oval,sign bridge,of sign bridge,removal of sign bridge,b ridge,sign b ridge,of sign b ridge,e loop,610 e loop,ih 610 e loop"
129,None
130,"e loop,610 e loop,ih 610 e loop"
131,"down roads,close down roads,not close down roads,it island,determine it island,they determine it island"
132,None
133,None
134,None
135,"hea road,youve hea road,info youve hea road,b estate,cousins b estate,your cousins b estate,be street,cousins be street,your cousins be street,@readyharr island,@nwshouston @readyharr island,and @nwshouston @readyharr island"
136,"@galveston ferry,follow @galveston ferry,please follow @galveston ferry,for ferry,@galvestonferry for ferry,follow @galvestonferry for ferry,rumor mill,the rumor mill,follow the rumor mill"
137,"249 extension,sh 249 extension,for sh 249 extension,- island,information - island,financial information - island,tonig heights,for tonig heights,on for tonig heights"
138,"harr island,north harr island,our north harr island,humble island,in humble island,office in humble island,th island,preparations th island,storm preparations th island"
139,"th island,for th island,work for th island"
140,"th island,#knowbeforeyougo th island,including road,need including road,you need including road"
141,"gu loaf,45 gu loaf,ih 45 gu loaf,gulf freeway,45 gulf freeway,ih 45 gulf freeway,fr way,gulf fr way,45 gulf fr way"
142,None
143,"major road,th island,for th island,closure for th island,e freeway,katy e freeway,10 katy e freeway,fr way,e fr way,katy e fr way"
144,"th island,wa terrace,get wa terrace,to get wa terrace,h avenue,lanes h avenue,frontage lanes h avenue"
145,"distri court,houston distri court,the houston distri court,distri court,all distri court,with all distri court"
146,"ea street,10 ea street,ih 10 ea street,east freeway,10 east freeway,ih 10 east freeway,fr way,east fr way,10 east fr way,dell dale,at dell dale,incident at dell dale,h avenue,mainlanes h avenue,wb mainlanes h avenue"
147,"dell dale,at dell dale,directions at dell dale,impa court,will impa court,crash will impa court,alt route,for alt route,prepare for alt route"
148,"th island,closed th island,remain closed th island,impa court,could impa court,event could impa court,alt route,an alt route,take an alt route"
149,None
150,"ea street,10 ea street,ih 10 ea street,east freeway,10 east freeway,ih 10 east freeway,fr way,east fr way,10 east fr way,dell dale,at dell dale,frwy at dell dale,alt route,seek alt route,blocked seek alt route"
151,"wa terrace,high wa terrace,newer high wa terrace,state roads,along state roads,levels along state roads"
152,"th island,#knowbeforeyougo th island,including road,need including road,you need including road"
153,"w estate,ih-610 w estate,we street,ih-610 we street,west loop,ih-610 west loop,fournace place,at fournace place,northbound at fournace place"
154,"wa terrace,high wa terrace,- high wa terrace"
155,"wa terrace,high wa terrace,- high wa terrace"
156,"wa terrace,high wa terrace,- high wa terrace"
157,"w estate,ih-610 w estate,we street,ih-610 we street,west loop,ih-610 west loop,fournace place,at fournace place,northbound at fournace place"
158,"wa terrace,high wa terrace,- high wa terrace"
159,"wa terrace,high wa terrace,- high wa terrace"
160,"wa terrace,high wa terrace,- high wa terrace"
161,"wa terrace,high wa terrace,- high wa terrace"
162,"chapel road,wyatt chapel road,at wyatt chapel road,wa terrace,high wa terrace,- high wa terrace"
163,"churc hill,at churc hill,southbound at churc hill,farms boulevard,churchill farms boulevard,at churchill farms boulevard,cardiff ranch,blvd cardiff ranch,farms blvd cardiff ranch,ranch drive,cardiff ranch drive,blvd cardiff ranch drive,wa terrace,high wa terrace,- high wa terrace"
164,"wa terrace,high wa terrace,- high wa terrace"
165,"wa terrace,high wa terrace,- high wa terrace"
166,"wa terrace,high wa terrace,- high wa terrace"
167,"wa terrace,high wa terrace,- high wa terrace"
168,"wa terrace,high wa terrace,- high wa terrace"
169,"buller road,at buller road,eastbound at buller road,wa terrace,high wa terrace,- high wa terrace"
170,"belt way,8-ea street,beltway 8-ea street,wallis ville,at wallis ville,southbound at wallis ville,wa terrace,high wa terrace,- high wa terrace"
171,"brazos river,at brazos river,northbound at brazos river,wa terrace,high wa terrace,- high wa terrace"
172,"brazos river,at brazos river,southbound at brazos river,wa terrace,high wa terrace,- high wa terrace"
173,"patterson road,at patterson road,southbound at patterson road,wa terrace,high wa terrace,- high wa terrace"
174,"wa terrace,high wa terrace,- high wa terrace"
175,"wa terrace,high wa terrace,- high wa terrace"
176,"bissonnet street,at bissonnet street,eastbound at bissonnet street,wa terrace,high wa terrace,- high wa terrace"
177,"17th street,sh-35 17th street,at sh-35 17th street,wa terrace,high wa terrace,- high wa terrace"
178,"wa terrace,high wa terrace,- high wa terrace"
179,"gu loaf,ih-45 gu loaf,before ih-45 gu loaf"
180,"eastex freeway,ih-69 eastex freeway,free way,eastex free way,ih-69 eastex free way,at greens,southbound at greens,freeway southbound at greens,greens road,at greens road,southbound at greens road"
181,"eastex freeway,ih-69 eastex freeway,free way,eastex free way,ih-69 eastex free way,at greens,northbound at greens,freeway northbound at greens,greens road,at greens road,northbound at greens road"
182,"gu loaf,ih-45 gu loaf,before ih-45 gu loaf"
183,"ea street,ih-10 ea street,lockwood drive,at lockwood drive,eastbound at lockwood drive"
184,"wa terrace,high wa terrace,- high wa terrace"
185,"w estate,we street,toll way,houston toll way,sam houston toll way,west park,before west park,southbound before west park,westpark drive,before westpark drive,southbound before westpark drive"
186,"toll way,houston toll way,sam houston toll way,southea street,at southea street,eastbound at southea street,southeast plaza,at southeast plaza,eastbound at southeast plaza"
187,"stefka road,at stefka road,eastbound at stefka road,wa terrace,high wa terrace,- high wa terrace"
188,"ea street,ih-10 ea street,cedar bayou,crosby cedar bayou,main crosby cedar bayou,wa terrace,high wa terrace,- high wa terrace,water road,high water road,- high water road,debr island,road debr island,water road debr island"
189,"mississippi street,at mississippi street,eastbound at mississippi street,wa terrace,high wa terrace,- high wa terrace"
190,"mustang bayou,at mustang bayou,eastbound at mustang bayou,bayou road,mustang bayou road,at mustang bayou road,wa terrace,high wa terrace,- high wa terrace"
191,"11th street,at 11th street,eastbound at 11th street,wa terrace,high wa terrace,- high wa terrace"
192,"grand parkway,sh-99 grand parkway,at sh-99 grand parkway,park way,grand park way,sh-99 grand park way,wa terrace,high wa terrace,- high wa terrace"
193,"wa terrace,high wa terrace,- high wa terrace"
194,"wa terrace,high wa terrace,- high wa terrace"
195,"wa terrace,high wa terrace,- high wa terrace"
196,"northw estate,us-290 northw estate,northwe street,us-290 northwe street,wa terrace,high wa terrace,- high wa terrace"
197,"wa terrace,high wa terrace,- high wa terrace"
198,"ea street,ih-10 ea street,lockwood drive,at lockwood drive,eastbound at lockwood drive"
199,"cardinal drive,at cardinal drive,eastbound at cardinal drive,wa terrace,high wa terrace,- high wa terrace"
200,"gu loaf,ih-45 gu loaf,trav island,at trav island,northbound at trav island,tra vista,at tra vista,northbound at tra vista,wa terrace,high wa terrace,- high wa terrace"
201,"donigan road,at donigan road,westbound at donigan road,wa terrace,high wa terrace,- high wa terrace"
202,"ea street,ih-10 ea street,cedar lane,at cedar lane,eastbound at cedar lane,wa terrace,high wa terrace,- high wa terrace"
203,"toll way,houston toll way,sam houston toll way,southea street,at southea street,eastbound at southea street,southeast plaza,at southeast plaza,eastbound at southeast plaza"
204,"wa terrace,high wa terrace,- high wa terrace"
205,"northw estate,us-290 northw estate,northwe street,us-290 northwe street,wa terrace,high wa terrace,- high wa terrace"
206,"northw estate,us-290 northw estate,northwe street,us-290 northwe street,bin ford,at bin ford,eastbound at bin ford,binfo road,at binfo road,eastbound at binfo road,wa terrace,high wa terrace,- high wa terrace"
207,"northw estate,us-290 northw estate,northwe street,us-290 northwe street,eld ridge,at eld ridge,westbound at eld ridge,eldridge parkway,at eldridge parkway,westbound at eldridge parkway,park way,eldridge park way,at eldridge park way,wa terrace,high wa terrace,- high wa terrace"
208,"ea street,ih-10 ea street,monmouth drive,at monmouth drive,westbound at monmouth drive,wa terrace,high wa terrace,- high wa terrace"
209,"ea street,ih-10 ea street,monmouth drive,at monmouth drive,eastbound at monmouth drive,wa terrace,high wa terrace,- high wa terrace"
210,"ea street,ih-10 ea street,lynch burg,sts lynch burg,main sts lynch burg,lynchburg road,sts lynchburg road,main sts lynchburg road,wa terrace,high wa terrace,- high wa terrace"
211,"toll way,houston toll way,sam houston toll way,wa terrace,high wa terrace,- high wa terrace"
212,"ea street,ih-10 ea street,monmouth drive,at monmouth drive,westbound at monmouth drive"
213,"ea street,ih-10 ea street,monmouth drive,at monmouth drive,eastbound at monmouth drive"
214,"belt way,8-w estate,beltway 8-w estate,8-we street,beltway 8-we street,for estate,briar for estate,at briar for estate,briar forest,at briar forest,northbound at briar forest,fo rest,briar fo rest,at briar fo rest,fore street,briar fore street,at briar fore street,forest drive,briar forest drive,at briar forest drive,wa terrace,high wa terrace,- high wa terrace"
215,"w estate,we street,toll way,houston toll way,sam houston toll way,wa terrace,high wa terrace,- high wa terrace"
216,"memorial drive,at memorial drive,northbound at memorial drive,wa terrace,high wa terrace,- high wa terrace,1 ramp,affected: 1 ramp,lanes affected: 1 ramp"
217,"tomball parkway,sh-249 tomball parkway,park way,tomball park way,sh-249 tomball park way,compaq center,at compaq center,northbound at compaq center,cen terrace,compaq cen terrace,at compaq cen terrace,center drive,compaq center drive,at compaq center drive,wa terrace,high wa terrace,- high wa terrace"
218,"w estate,ih-610 w estate,we street,ih-610 we street,west loop,ih-610 west loop"
219,"montgomery-harr island,at montgomery-harr island,northbound at montgomery-harr island,wa terrace,high wa terrace,- high wa terrace"
220,"fostoria road,at fostoria road,southbound at fostoria road,wa terrace,high wa terrace,- high wa terrace"
221,"wa terrace,high wa terrace,- high wa terrace"
222,"toll way,houston toll way,sam houston toll way,wa terrace,high wa terrace,- high wa terrace"
223,"toll way,houston toll way,sam houston toll way,wa terrace,high wa terrace,- high wa terrace"
224,"w estate,ih-610 w estate,we street,ih-610 we street,west loop,ih-610 west loop"
225,"wa terrace,high wa terrace,- high wa terrace"
226,"at fort,northbound at fort,fm-521 northbound at fort,fort bend,at fort bend,northbound at fort bend,county road,bend county road,fort bend county road,wa terrace,high wa terrace,- high wa terrace"
227,"wa terrace,high wa terrace,- high wa terrace"
228,"chocolate bayou,at chocolate bayou,northbound at chocolate bayou,bayou road,chocolate bayou road,at chocolate bayou road,wa terrace,high wa terrace,- high wa terrace"
229,"chocolate bayou,at chocolate bayou,southbound at chocolate bayou,bayou road,chocolate bayou road,at chocolate bayou road,wa terrace,high wa terrace,- high wa terrace"
230,"gu loaf,ih-45 gu loaf,scars dale,at scars dale,northbound at scars dale,scarsdale boulevard,at scarsdale boulevard,northbound at scarsdale boulevard,wa terrace,high wa terrace,- high wa terrace"
231,"pederson road,at pederson road,westbound at pederson road,wa terrace,high wa terrace,- high wa terrace"
232,"belt way,8-ea street,beltway 8-ea street,wallis ville,at wallis ville,northbound at wallis ville"
233,"wa terrace,high wa terrace,- high wa terrace"
234,"wa terrace,high wa terrace,- high wa terrace"
235,None
236,None
237,"wa terrace,high wa terrace,- high wa terrace"
238,"toll road,hardy toll road"
239,"toll road,hardy toll road"
240,"belt way,8-ea street,beltway 8-ea street,wallis ville,at wallis ville,northbound at wallis ville"
241,"toll way,houston toll way,sam houston toll way,mesa road,at mesa road,eastbound at mesa road"
242,"air port,hardy air port,jfk boulevard,before jfk boulevard,eastbound before jfk boulevard"
243,"eastex freeway,ih-69 eastex freeway,free way,eastex free way,ih-69 eastex free way,gu loaf,ih-45 gu loaf,at ih-45 gu loaf"
244,"toll way,houston toll way,sam houston toll way"
245,"richey street,at richey street,westbound at richey street,wa terrace,high wa terrace,- high wa terrace"
246,"richey street,at richey street,eastbound at richey street,wa terrace,high wa terrace,- high wa terrace"
247,"air port,hardy air port,jfk boulevard,before jfk boulevard,eastbound before jfk boulevard"
248,"northw estate,us-290 northw estate,northwe street,us-290 northwe street,wa terrace,high wa terrace,- high wa terrace,frontage road,3 frontage road,affected: 3 frontage road"
249,"toll way,houston toll way,sam houston toll way"
250,"bena road,san bena road,at san bena road,river fort,benard river fort,san benard river fort,wa terrace,high wa terrace,- high wa terrace"
251,"bena road,san bena road,at san bena road,river fort,benard river fort,san benard river fort,wa terrace,high wa terrace,- high wa terrace"
252,"drdulles avenue,kirkwood drdulles avenue,at kirkwood drdulles avenue,wa terrace,high wa terrace,- high wa terrace"
253,"isleib road,at isleib road,southbound at isleib road,wa terrace,high wa terrace,- high wa terrace"
254,"fm-762thompson road,at fm-762thompson road,southbound at fm-762thompson road,wa terrace,high wa terrace,- high wa terrace"
255,"brazos river,at brazos river,southbound at brazos river,wa terrace,high wa terrace,- high wa terrace"
256,"university boulevard,at university boulevard,northbound at university boulevard,wa terrace,high wa terrace,- high wa terrace"
257,"fm-762thompson road,at fm-762thompson road,northbound at fm-762thompson road,wa terrace,high wa terrace,- high wa terrace"
258,"hand road,at hand road,southbound at hand road,wa terrace,high wa terrace,- high wa terrace"
259,"af terrace,southbound af terrace,sh-288 southbound af terrace,ha road,mc ha road,fm-2234 mc ha road,hard road,mc hard road,fm-2234 mc hard road,wa terrace,high wa terrace,- high wa terrace"
260,"bell fort,w bell fort,at w bell fort,bellfort road,w bellfort road,at w bellfort road,wa terrace,high wa terrace,- high wa terrace"
261,"nordt road,at nordt road,southbound at nordt road,wa terrace,high wa terrace,- high wa terrace"
262,"nordt road,at nordt road,northbound at nordt road,wa terrace,high wa terrace,- high wa terrace"
263,"mason road,s mason road,at s mason road,wa terrace,high wa terrace,- high wa terrace"
264,"5th street,at 5th street,southbound at 5th street,wa terrace,high wa terrace,- high wa terrace"
265,"5th street,at 5th street,northbound at 5th street,wa terrace,high wa terrace,- high wa terrace"
266,"toll road,hardy toll road,crosstimbers street,at crosstimbers street,southbound at crosstimbers street,wa terrace,high wa terrace,- high wa terrace"
267,"toll road,hardy toll road,crosstimbers street,at crosstimbers street,northbound at crosstimbers street,wa terrace,high wa terrace,- high wa terrace"
268,"eastex freeway,ih-69 eastex freeway,free way,eastex free way,ih-69 eastex free way,gu loaf,ih-45 gu loaf,at ih-45 gu loaf,wa terrace,high wa terrace,- high wa terrace"
269,"toll road,hardy toll road,belt way,at belt way,northbound at belt way,wa terrace,high wa terrace,- high wa terrace"
270,"belt way,wa terrace,high wa terrace,- high wa terrace"
271,"toll road,hardy toll road,belt way,at belt way,southbound at belt way,wa terrace,high wa terrace,- high wa terrace"
272,"calvert road,at calvert road,westbound at calvert road,wa terrace,high wa terrace,- high wa terrace"
273,"bauer road,at bauer road,westbound at bauer road,wa terrace,high wa terrace,- high wa terrace"
274,"managed lane,katy managed lane,ih-10 katy managed lane,eld ridge,at eld ridge,westbound at eld ridge,p key,eldridge p key,at eldridge p key,eldridge parkway,at eldridge parkway,westbound at eldridge parkway"
275,"at park,eastbound at park,fm-2920 eastbound at park,park road,at park road,eastbound at park road,wa terrace,high wa terrace,- high wa terrace"
276,"bauer road,at bauer road,eastbound at bauer road,wa terrace,high wa terrace,- high wa terrace"
277,"huffman road,2100crosby huffman road,fm 2100crosby huffman road,wa terrace,high wa terrace,- high wa terrace"
278,"ella boulevard,at ella boulevard,eastbound at ella boulevard,wa terrace,high wa terrace,- high wa terrace"
279,"grand parkway,sh-99 grand parkway,pk way,grand pk way,sh-99 grand pk way,af terrace,westbound af terrace,north westbound af terrace,jacinto river,san jacinto river,after san jacinto river,wa terrace,high wa terrace,- high wa terrace"
280,"managed lane,katy managed lane,ih-10 katy managed lane,eld ridge,at eld ridge,eastbound at eld ridge,p key,eldridge p key,at eldridge p key,eldridge parkway,at eldridge parkway,eastbound at eldridge parkway"
281,"kirkwood road,at kirkwood road,westbound at kirkwood road"
282,"wa terrace,high wa terrace,- high wa terrace"
283,"avewestcott street,washington avewestcott street,at washington avewestcott street"
284,"wa terrace,high wa terrace,- high wa terrace"
285,"walker street,at walker street,southbound at walker street,wa terrace,high wa terrace,- high wa terrace"
286,"walker street,at walker street,northbound at walker street,wa terrace,high wa terrace,- high wa terrace"
287,"wa terrace,high wa terrace,- high wa terrace"
288,"broad way,sh-87 broad way,se wall,at se wall,southbound at se wall,sewall boulevard,at sewall boulevard,southbound at sewall boulevard,2nd street,blvd 2nd street,sewall blvd 2nd street,wa terrace,high wa terrace,- high wa terrace"
289,"oaks drive,kemah oaks drive,at kemah oaks drive,wa terrace,high wa terrace,- high wa terrace"
290,None
291,"oaks drive,kemah oaks drive,at kemah oaks drive,wa terrace,high wa terrace,- high wa terrace"
292,"kirkwood road,at kirkwood road,westbound at kirkwood road"
293,"avewestcott street,washington avewestcott street,at washington avewestcott street"
294,"managed lane,katy managed lane,ih-10 katy managed lane,gessner drive,at gessner drive,westbound at gessner drive"
295,"toll road,hardy toll road,wa terrace,high wa terrace,- high wa terrace"
296,"bingle road,at bingle road,westbound at bingle road"
297,"managed lane,katy managed lane,ih-10 katy managed lane,gessner drive,at gessner drive,westbound at gessner drive"
298,"toll way,houston toll way,sam houston toll way,sam plaza,north sam plaza,at north sam plaza"
299,"grand parkway,sh-99 grand parkway,pk way,grand pk way,sh-99 grand pk way,jacinto river,san jacinto river,before san jacinto river,wa terrace,high wa terrace,- high wa terrace"
300,"grand parkway,sh-99 grand parkway,pk way,grand pk way,sh-99 grand pk way,riverwa lake,at riverwa lake,eastbound at riverwa lake,river walk,at river walk,eastbound at river walk,riverwalk drive,at riverwalk drive,eastbound at riverwalk drive,wa terrace,high wa terrace,- high wa terrace"
301,"grand parkway,sh-99 grand parkway,pk way,grand pk way,sh-99 grand pk way,wa terrace,high wa terrace,- high wa terrace"
302,"toll way,houston toll way,sam houston toll way,sam plaza,north sam plaza,at north sam plaza"
303,"eastex freeway,ih-69 eastex freeway,free way,eastex free way,ih-69 eastex free way,gu loaf,ih-45 gu loaf,at ih-45 gu loaf"
304,"fm-1765texas avenue,at fm-1765texas avenue,southbound at fm-1765texas avenue,wa terrace,high wa terrace,- high wa terrace"
305,"belt way,wa terrace,high wa terrace,- high wa terrace"
306,"wa terrace,high wa terrace,- high wa terrace"
307,"belt way,kennedy boulevard,f kennedy boulevard,john f kennedy boulevard"
